DisplayImage,corrAns,ishihara_pics.thisRepN,ishihara_pics.thisTrialN,ishihara_pics.thisN,ishihara_pics.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,demographics.started,demographics.stopped,demographic_form.index,demographic_form.itemText,demographic_form.type,demographic_form.font,demographic_form.markerColor,demographic_form.response,demographic_form.rt,education.started,education.stopped,edu_form.index,edu_form.itemText,edu_form.type,edu_form.font,edu_form.markerColor,edu_form.response,edu_form.rt,Ishihara.started,Ishihara.stopped,ishihara_number.text,no_text_blocks_self_paced.started,no_text_blocks_self_paced.stopped,text_blocks_self_paced.started,colour,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr,block_name,block_kind,word,global_onset_time,question,button_pressed,chosen_ans,ans_correct,block_nr_exp,n-back_level,text_blocks_self_paced.stopped,text_blocks_paced.started,text_blocks_paced.stopped,no_text_blocks_paced.started,no_text_blocks_paced.stopped,pseudotext.started,pseudotext.stopped,curr_0back_target,RT_per_letter_baseline,RT_per_letter_0back,RT_per_rect_1back_single,RT_per_letter_1bck,RT_per_rect_2back_single,RT_per_letter_2bck,participant,testing_mode,date,expName,psychopyVersion,expStart
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,531.686067581177,reading_bl_training_text,28,0,Reading_Baseline_training_click,None,verabschiedeten,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,548.233985900879,reading_bl_training_text,29,0,Reading_Baseline_training_click,None,"sich,",,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,398.883104324341,reading_bl_training_text,30,0,Reading_Baseline_training_click,None,während,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,499.083042144775,reading_bl_training_text,31,0,Reading_Baseline_training_click,None,das,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,514.454126358032,reading_bl_training_text,32,0,Reading_Baseline_training_click,None,Orchester,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,532.700061798096,reading_bl_training_text,33,0,Reading_Baseline_training_click,None,zur,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,464.426994323731,reading_bl_training_text,34,0,Reading_Baseline_training_click,None,Deckshow,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,498.69704246521,reading_bl_training_text,35,0,Reading_Baseline_training_click,None,aufspielte.,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,548.689842224121,reading_bl_training_text,36,0,Reading_Baseline_training_click,None,Abseits,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,499.067068099976,reading_bl_training_text,37,0,Reading_Baseline_training_click,None,des,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,397.644996643066,reading_bl_training_text,38,0,Reading_Baseline_training_click,None,Trubels,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,515.814065933228,reading_bl_training_text,39,0,Reading_Baseline_training_click,None,bemerkten,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,498.541116714478,reading_bl_training_text,40,0,Reading_Baseline_training_click,None,wir,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,581.161022186279,reading_bl_training_text,41,0,Reading_Baseline_training_click,None,Blitzlichter:,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,531.668186187744,reading_bl_training_text,42,0,Reading_Baseline_training_click,None,Reporter,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,516.091108322144,reading_bl_training_text,43,0,Reading_Baseline_training_click,None,hatten,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,448.413848876953,reading_bl_training_text,44,0,Reading_Baseline_training_click,None,den,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,498.166084289551,reading_bl_training_text,45,0,Reading_Baseline_training_click,None,Weltschachmeister,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,566.153049468994,reading_bl_training_text,46,0,Reading_Baseline_training_click,None,Mirko,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
