DisplayImage,corrAns,ishihara_pics.thisRepN,ishihara_pics.thisTrialN,ishihara_pics.thisN,ishihara_pics.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,demographics.started,demographics.stopped,demographic_form.index,demographic_form.itemText,demographic_form.type,demographic_form.font,demographic_form.markerColor,demographic_form.response,demographic_form.rt,education.started,education.stopped,edu_form.index,edu_form.itemText,edu_form.type,edu_form.font,edu_form.markerColor,edu_form.response,edu_form.rt,Ishihara.started,Ishihara.stopped,ishihara_number.text,no_text_blocks_self_paced.started,no_text_blocks_self_paced.stopped,text_blocks_self_paced.started,colour,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr,block_name,block_kind,word,global_onset_time,question,button_pressed,chosen_ans,ans_correct,block_nr_exp,n-back_level,text_blocks_self_paced.stopped,text_blocks_paced.started,text_blocks_paced.stopped,no_text_blocks_paced.started,no_text_blocks_paced.stopped,pseudotext.started,pseudotext.stopped,curr_0back_target,RT_per_letter_baseline,participant,testing_mode,date,expName,psychopyVersion,expStart,
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png,78,0,1,1,3,,,,,194.30866885185242,,,,,,,,,,,,,,,,,,,,,,194.25898599624634,196.99847292900085,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png,17,0,2,2,1,,,,,198.04798483848572,,,,,,,,,,,,,,,,,,,,,,197.99859499931335,200.7039918899536,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png,15,0,3,3,5,,,,,201.756502866745,,,,,,,,,,,,,,,,,,,,,,201.70682001113892,205.27959990501404,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png,21,0,4,4,2,,,,,206.3320770263672,,,,,,,,,,,,,,,,,,,,,,206.28242683410645,208.9868140220642,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png,23,0,5,5,4,,,,,210.03801798820496,,,,,,,,,,,,,,,,,,,,,,209.9884479045868,213.4620978832245,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,214.48020601272583,,,,,,,,,,,,,,,,,,,,,,,,,214.4641740322113,214.48028802871704,214.48029685020447,#D292F3,None,None,None,1500,reading_bl_training_text,1,0,Reading_Baseline_training_click,None,Auf,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,2,0,Reading_Baseline_training_click,None,dem,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,3,0,Reading_Baseline_training_click,None,großen,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,4,0,Reading_Baseline_training_click,None,"Passagierdampfer,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,5,0,Reading_Baseline_training_click,None,der,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,6,0,Reading_Baseline_training_click,None,um,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,7,0,Reading_Baseline_training_click,None,Mitternacht,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,8,0,Reading_Baseline_training_click,None,von,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,9,0,Reading_Baseline_training_click,None,New,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,10,0,Reading_Baseline_training_click,None,York,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,11,0,Reading_Baseline_training_click,None,nach,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,12,0,Reading_Baseline_training_click,None,Buenos,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,13,0,Reading_Baseline_training_click,None,Aires,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,14,0,Reading_Baseline_training_click,None,abgehen,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,15,0,Reading_Baseline_training_click,None,"sollte,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,16,0,Reading_Baseline_training_click,None,herrschte,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,17,0,Reading_Baseline_training_click,None,die,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,18,0,Reading_Baseline_training_click,None,übliche,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,19,0,Reading_Baseline_training_click,None,Geschäftigkeit,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,20,0,Reading_Baseline_training_click,None,und,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,298.6581325531006,reading_bl_training_text,21,0,Reading_Baseline_training_click,None,Bewegung,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,22,0,Reading_Baseline_training_click,None,der,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,23,0,Reading_Baseline_training_click,None,letzten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,24,0,Reading_Baseline_training_click,None,Stunde.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,25,0,Reading_Baseline_training_click,None,Gäste,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,26,0,Reading_Baseline_training_click,None,vom,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,27,0,Reading_Baseline_training_click,None,Land,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,28,0,Reading_Baseline_training_click,None,verabschiedeten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,29,0,Reading_Baseline_training_click,None,"sich,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,30,0,Reading_Baseline_training_click,None,während,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,31,0,Reading_Baseline_training_click,None,das,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,32,0,Reading_Baseline_training_click,None,Orchester,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,33,0,Reading_Baseline_training_click,None,zur,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,34,0,Reading_Baseline_training_click,None,Deckshow,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,35,0,Reading_Baseline_training_click,None,aufspielte.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,36,0,Reading_Baseline_training_click,None,Abseits,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,37,0,Reading_Baseline_training_click,None,des,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1166.7580604553223,reading_bl_training_text,38,0,Reading_Baseline_training_click,None,Trubels,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,39,0,Reading_Baseline_training_click,None,bemerkten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,40,0,Reading_Baseline_training_click,None,wir,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,41,0,Reading_Baseline_training_click,None,Blitzlichter:,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,42,0,Reading_Baseline_training_click,None,Reporter,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,43,0,Reading_Baseline_training_click,None,hatten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,44,0,Reading_Baseline_training_click,None,den,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,45,0,Reading_Baseline_training_click,None,Weltschachmeister,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,46,0,Reading_Baseline_training_click,None,Mirko,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,47,0,Reading_Baseline_training_click,None,"Czentovic,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,48,0,Reading_Baseline_training_click,None,der,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,49,0,Reading_Baseline_training_click,None,nach,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
